Alcohol, Malic acid, class
14.23,1.71,1
13.2,1.78,1
13.16,2.36,1
14.37,1.95,1
13.24,2.59,1
14.2,1.76,1
14.39,1.87,1
14.06,2.15,1
14.83,1.64,1
13.86,1.35,1
14.1,2.16,1
14.12,1.48,1
13.75,1.73,1
14.75,1.73,1
14.38,1.87,1
13.63,1.81,1
14.3,1.92,1
13.83,1.57,1
14.19,1.59,1
13.64,3.1,1
14.06,1.63,1
12.93,3.8,1
13.71,1.86,1
12.85,1.6,1
13.5,1.81,1
13.05,2.05,1
13.39,1.77,1
13.3,1.72,1
13.87,1.9,1
14.02,1.68,1
13.73,1.5,1
13.58,1.66,1
13.68,1.83,1
13.76,1.53,1
13.51,1.8,1
13.48,1.81,1
13.28,1.64,1
13.05,1.65,1
13.07,1.5,1
14.22,3.99,1
13.56,1.71,1
13.41,3.84,1
13.88,1.89,1
13.24,3.98,1
13.05,1.77,1
14.21,4.04,1
14.38,3.59,1
13.9,1.68,1
14.1,2.02,1
13.94,1.73,1
13.05,1.73,1
13.83,1.65,1
13.82,1.75,1
13.77,1.9,1
13.74,1.67,1
13.56,1.73,1
14.22,1.7,1
13.29,1.97,1
13.72,1.43,1
12.37,0.94,2
12.33,1.1,2
12.64,1.36,2
13.67,1.25,2
12.37,1.13,2
12.17,1.45,2
12.37,1.21,2
13.11,1.01,2
12.37,1.17,2
13.34,0.94,2
12.21,1.19,2
12.29,1.61,2
13.86,1.51,2
13.49,1.66,2
12.99,1.67,2
11.96,1.09,2
11.66,1.88,2
13.03,0.9,2
11.84,2.89,2
12.33,0.99,2
12.7,3.87,2
12,0.92,2
12.72,1.81,2
12.08,1.13,2
13.05,3.86,2
11.84,0.89,2
12.67,0.98,2
12.16,1.61,2
11.65,1.67,2
11.64,2.06,2
12.08,1.33,2
12.08,1.83,2
12,1.51,2
12.69,1.53,2
12.29,2.83,2
11.62,1.99,2
12.47,1.52,2
11.81,2.12,2
12.29,1.41,2
12.37,1.07,2
12.29,3.17,2
12.08,2.08,2
12.6,1.34,2
12.34,2.45,2
11.82,1.72,2
12.51,1.73,2
12.42,2.55,2
12.25,1.73,2
12.72,1.75,2
12.22,1.29,2
11.61,1.35,2
11.46,3.74,2
12.52,2.43,2
11.76,2.68,2
11.41,0.74,2
12.08,1.39,2
11.03,1.51,2
11.82,1.47,2
12.42,1.61,2
12.77,3.43,2
12,3.43,2
11.45,2.4,2
11.56,2.05,2
12.42,4.43,2
13.05,5.8,2
11.87,4.31,2
12.07,2.16,2
12.43,1.53,2
11.79,2.13,2
12.37,1.63,2
12.04,4.3,2
12.86,1.35,3
12.88,2.99,3
12.81,2.31,3
12.7,3.55,3
12.51,1.24,3
12.6,2.46,3
12.25,4.72,3
12.53,5.51,3
13.49,3.59,3
12.84,2.96,3
12.93,2.81,3
13.36,2.56,3
13.52,3.17,3
13.62,4.95,3
12.25,3.88,3
13.16,3.57,3
13.88,5.04,3
12.87,4.61,3
13.32,3.24,3
13.08,3.9,3
13.5,3.12,3
12.79,2.67,3
13.11,1.9,3
13.23,3.3,3
12.58,1.29,3
13.17,5.19,3
13.84,4.12,3
12.45,3.03,3
14.34,1.68,3
13.48,1.67,3
12.36,3.83,3
13.69,3.26,3
12.85,3.27,3
12.96,3.45,3
13.78,2.76,3
13.73,4.36,3
13.45,3.7,3
12.82,3.37,3
13.58,2.58,3
13.4,4.6,3
12.2,3.03,3
12.77,2.39,3
14.16,2.51,3
13.71,5.65,3
13.4,3.91,3
13.27,4.28,3
13.17,2.59,3
14.13,4.1,3
